;SSR;MSE;nr_variables_deleted;nr_correct_variables_deleted
0;0.006776239170131279;0.00027104956680525116;7;0
1;0.020678039153082896;0.0008271215661233159;6;0
2;0.005945103913988713;0.00023780415655954852;6;0
3;0.01308267900766516;0.0005233071603066064;7;0
4;0.010551544184691496;0.0004220617673876598;8;1
5;0.0075656676732918215;0.0003026267069316729;7;0
6;0.021336753930446477;0.0008534701572178591;7;0
7;0.005100653863145585;0.0002040261545258234;7;0
8;0.013527123556817502;0.0005410849422727001;7;0
9;0.02574445289086269;0.0010297781156345077;6;0
10;0.008275643986686246;0.00033102575946744985;7;0
11;0.007043809791660064;0.00028175239166640257;7;0
12;0.022558305576032844;0.0009023322230413138;7;0
13;0.012319276791077343;0.0004927710716430937;6;0
14;0.0074659046660623335;0.00029863618664249336;7;0
15;0.013595783848220383;0.0005438313539288153;6;0
16;0.015587080886580444;0.0006234832354632178;7;0
17;0.007810525446372716;0.00031242101785490864;7;0
18;0.008350460508835793;0.00033401842035343175;7;0
19;0.019732394182452668;0.0007892957672981067;6;0
20;0.016454372538024332;0.0006581749015209733;6;0
21;0.009107630120646125;0.000364305204825845;7;0
22;0.008444811213807123;0.0003377924485522849;6;0
23;0.00551105627476507;0.00022044225099060281;7;0
24;0.011129325580762742;0.0004451730232305097;7;0
25;0.01435641790491133;0.0005742567161964531;8;1
26;0.01983517425819592;0.0007934069703278368;8;1
27;0.008116177004077667;0.0003246470801631067;7;0
28;0.009325584432416685;0.00037302337729666743;6;0
29;0.013339192244746252;0.0005335676897898501;7;0
30;0.010904780993412069;0.0004361912397364828;7;0
31;0.009518296340690242;0.0003807318536276097;7;0
32;0.007243972243240469;0.00028975888972961874;7;0
33;0.018144640755165354;0.0007257856302066142;7;0
34;0.005834686730819813;0.00023338746923279253;6;0
35;0.007407118605042968;0.0002962847442017187;7;0
36;0.015361021356374096;0.0006144408542549638;7;0
37;0.010360861223118663;0.00041443444892474653;7;0
38;0.00863980048820443;0.0003455920195281772;6;0
39;0.008920388830519026;0.00035681555322076105;7;0
40;0.010251221787095303;0.00041004887148381213;7;0
41;0.014138661522635924;0.000565546460905437;6;0
42;0.009954093627793651;0.00039816374511174606;6;0
43;0.005620451055121466;0.00022481804220485864;7;0
44;0.009723786515566086;0.00038895146062264345;7;0
45;0.01991357246459231;0.0007965428985836924;7;0
46;0.005714988634891796;0.00022859954539567183;6;0
47;0.010007833959794411;0.00040031335839177645;5;0
48;0.021727890757099577;0.000869115630283983;7;0
49;0.013123921778130956;0.0005249568711252383;6;0
50;0.013393284797775266;0.0005357313919110106;7;0
51;0.03855908838781762;0.0015423635355127046;7;0
52;0.008427669982329945;0.0003371067992931978;7;0
53;0.01186232889037083;0.0004744931556148332;7;0
54;0.009390133459004628;0.00037560533836018513;7;0
55;0.01809579970404586;0.0007238319881618343;7;0
56;0.02407331512559133;0.0009629326050236532;7;0
57;0.030747411328955965;0.0012298964531582387;7;0
58;0.013663870767328019;0.0005465548306931207;6;0
59;0.0286889112629931;0.001147556450519724;7;0
60;0.01079220958461159;0.0004316883833844636;8;1
61;0.008841800691971564;0.00035367202767886254;7;0
62;0.018468516651744465;0.0007387406660697786;7;0
63;0.01797959342756072;0.0007191837371024289;7;0
64;0.007936694587820856;0.00031746778351283424;6;0
65;0.019305075263963373;0.0007722030105585349;6;0
66;0.0057312405216658705;0.00022924962086663482;7;0
67;0.021171639920271074;0.000846865596810843;7;0
68;0.03229947518151838;0.0012919790072607352;7;0
69;0.012159991502997626;0.00048639966011990507;7;0
70;0.00871772897888994;0.0003487091591555976;6;0
