;SSR;MSE;nr_variables_deleted;nr_correct_variables_deleted
0;0.15456674784621294;0.006182669913848515;8;1
1;0.19111208980535388;0.007644483592214158;7;0
2;0.2493307905111829;0.009973231620447316;8;1
3;0.21045950466167385;0.008418380186466954;7;0
4;0.15641270447036196;0.006256508178814478;8;1
5;0.14209205334709854;0.005683682133883939;8;1
6;0.18929401420117375;0.00757176056804695;7;0
7;0.18154830463692823;0.007261932185477129;8;1
8;0.17418550192850413;0.006967420077140165;7;0
9;0.20821388928906592;0.008328555571562639;7;0
10;0.1796290228893335;0.00718516091557334;8;1
11;0.19803841771373015;0.007921536708549205;7;0
12;0.18500739416523987;0.007400295766609593;7;0
13;0.1642796764313379;0.006571187057253517;7;0
14;0.16397080788734286;0.006558832315493714;6;0
15;0.18174287099464828;0.00726971483978593;7;0
16;0.19174081874505858;0.007669632749802342;7;0
17;0.19105695629288985;0.0076422782517155926;8;1
18;0.17212388942671525;0.006884955577068608;7;0
19;0.17963037040725852;0.0071852148162903405;7;0
20;0.19337995126464555;0.00773519805058582;8;1
21;0.1839217002546433;0.007356868010185733;8;1
22;0.204165506233161;0.008166620249326441;8;1
23;0.17702564144631477;0.007081025657852589;7;0
24;0.2030320036862222;0.00812128014744889;8;1
25;0.11558738677801743;0.004623495471120698;9;2
26;0.18896339157865055;0.007558535663146022;8;1
27;0.24960201922845898;0.009984080769138358;7;0
28;0.19220963026922952;0.007688385210769182;7;0
29;0.23897091266372864;0.009558836506549144;9;2
30;0.21651106231662573;0.008660442492665028;7;0
31;0.21000849288863094;0.008400339715545239;8;1
32;0.19372318606739786;0.007748927442695913;7;0
33;0.2155251254242306;0.008621005016969224;7;0
34;0.1617381783409135;0.00646952713363654;7;0
35;0.22120300410349142;0.008848120164139656;7;0
36;0.1946212073681405;0.00778484829472562;7;0
37;0.18137175632503832;0.007254870253001536;7;0
38;0.17254431444725105;0.006901772577890042;8;1
39;0.21595630375722608;0.008638252150289042;7;0
40;0.24456092957085396;0.00978243718283416;8;1
41;0.19860559031233005;0.007944223612493202;7;0
42;0.2088829410909744;0.008355317643638978;7;0
43;0.20311668867789875;0.00812466754711595;7;0
44;0.18318421707608804;0.007327368683043523;7;0
45;0.1925951658652994;0.007703806634611977;7;0
46;0.16827772092753887;0.006731108837101555;7;0
47;0.18543641893687426;0.007417456757474971;7;0
48;0.2064043810015784;0.008256175240063137;8;1
49;0.18714595067924492;0.007485838027169797;8;1
50;0.189906494592128;0.007596259783685122;8;1
51;0.20454258835266476;0.00818170353410659;7;0
52;0.1834084416263641;0.007336337665054563;8;1
53;0.13283871152201768;0.005313548460880706;9;2
54;0.12612028231736194;0.005044811292694477;9;2
55;0.1601657839824113;0.00640663135929645;7;0
56;0.1767236148136417;0.0070689445925456685;7;0
