;SSR;MSE;nr_variables_deleted;nr_correct_variables_deleted
0;0.331329893104829;0.013253195724193163;7;0
1;0.3444185871821919;0.013776743487287677;7;0
2;0.3425001892392129;0.013700007569568523;7;0
3;0.33113730076204023;0.01324549203048161;7;0
4;0.29412158692464024;0.011764863476985608;7;0
5;0.3451664682570314;0.013806658730281253;9;2
6;0.30020765454654047;0.012008306181861616;7;0
7;0.32929924251614234;0.013171969700645696;9;2
8;0.30183896918859715;0.012073558767543886;7;0
9;0.3223497509071063;0.012893990036284253;9;2
10;0.3106638681330969;0.012426554725323877;7;0
11;0.3407039245207938;0.013628156980831752;9;2
12;0.3377913380369141;0.013511653521476557;9;2
13;0.31009992101444134;0.012403996840577653;7;0
14;0.33473681865844357;0.013389472746337741;7;0
15;0.30392730439037013;0.012157092175614807;7;0
16;0.34517316705796636;0.013806926682318652;9;2
17;0.3455390469644784;0.013821561878579127;8;1
18;0.3216596018426163;0.012866384073704652;7;0
19;0.33158473015921747;0.013263389206368704;9;2
20;0.32754067979552265;0.013101627191820906;7;0
21;0.32636377525810173;0.013054551010324074;9;2
22;0.34388380700194393;0.013755352280077755;9;2
23;0.3344072290649898;0.013376289162599593;7;0
24;0.2946874811995001;0.011787499247980006;7;0
25;0.30211799238366777;0.012084719695346711;7;0
26;0.34560646367275677;0.013824258546910271;8;1
27;0.343537646702183;0.013741505868087322;7;0
28;0.31444395971473255;0.012577758388589304;7;0
29;0.3026564918758643;0.012106259675034568;7;0
30;0.32224165539128363;0.012889666215651345;7;0
31;0.34549518876096674;0.013819807550438672;8;1
32;0.30306973876395377;0.012122789550558151;7;0
33;0.34530302887232756;0.013812121154893102;8;1
34;0.3252922929307947;0.01301169171723179;9;2
35;0.3402833262312073;0.01361133304924829;7;0
36;0.3144896548578712;0.01257958619431485;7;0
37;0.29594702133016104;0.011837880853206447;7;0
38;0.3459923886203732;0.013839695544814925;8;1
39;0.33151679158529657;0.013260671663411862;7;0
40;0.34536632611549706;0.01381465304461988;7;0
41;0.34531542550456146;0.013812617020182456;8;1
42;0.3459414602769122;0.01383765841107649;8;1
43;0.33348836751992733;0.013339534700797096;9;2
44;0.3051241205402463;0.012204964821609852;7;0
45;0.2923605504178481;0.011694422016713925;7;0
46;0.3095597780902204;0.012382391123608815;7;0
47;0.3333175951147804;0.013332703804591213;9;2
48;0.3230885136964878;0.012923540547859508;9;2
49;0.34557107676153925;0.01382284307046157;8;1
50;0.33664464494920415;0.013465785797968165;7;0
51;0.31930635721729334;0.012772254288691736;7;0
52;0.30613492480363835;0.012245396992145541;7;0
53;0.3041113574426686;0.012164454297706746;7;0
54;0.34409823818811713;0.013763929527524685;7;0
55;0.33110634320142235;0.013244253728056899;9;2
56;0.2927450094653391;0.011709800378613563;7;0
57;0.3304852971460856;0.013219411885843423;9;2
58;0.34589437293184866;0.013835774917273952;8;1
59;0.29762240714617183;0.011904896285846874;7;0
60;0.34557061376194315;0.013822824550477729;8;1
61;0.30601753605440507;0.012240701442176196;7;0
62;0.32478743157035794;0.012991497262814315;9;2
63;0.3308325391498651;0.0132333015659946;7;0
64;0.34596416558739557;0.013838566623495824;8;1
65;0.3450412698342038;0.013801650793368155;9;2
66;0.337805178842522;0.013512207153700882;9;2
67;0.33161763346957407;0.013264705338782958;7;0
68;0.34535877133913745;0.013814350853565494;8;1
69;0.3455471060514196;0.013821884242056779;8;1
70;0.29733910867319563;0.011893564346927827;7;0
71;0.34129965934695705;0.013651986373878277;9;2
72;0.33258290481967573;0.013303316192787028;9;2
73;0.32237766365384063;0.012895106546153622;7;0
74;0.3431748243387528;0.013726992973550109;9;2
75;0.3293831743268302;0.013175326973073206;7;0
76;0.3456211426415673;0.013824845705662692;8;1
77;0.2980282883545476;0.011921131534181905;7;0
78;0.3263063199616783;0.01305225279846713;9;2
79;0.33604489932374493;0.013441795972949797;7;0
80;0.33395415263319195;0.01335816610532768;7;0
81;0.3458458983437794;0.013833835933751171;8;1
82;0.34543992076982;0.013817596830792804;8;1
83;0.3453468281928329;0.013813873127713316;8;1
84;0.3260802845662858;0.013043211382651432;9;2
85;0.32447584545057434;0.012979033818022971;7;0
86;0.343220614999917;0.013728824599996681;9;2
87;0.3211107619798904;0.012844430479195621;7;0
88;0.32192315012354433;0.012876926004941771;7;0
89;0.3361410887046233;0.013445643548184935;7;0
90;0.33766835388899763;0.013506734155559912;9;2
91;0.34303922442535156;0.013721568977014065;9;2
92;0.3007918661702737;0.012031674646810951;7;0
93;0.32580365903726904;0.013032146361490757;7;0
94;0.31531423647860174;0.012612569459144074;7;0
95;0.34520160161363805;0.013808064064545518;8;1
96;0.34459088831571644;0.013783635532628659;9;2
97;0.3049436071321683;0.012197744285286733;7;0
98;0.31415071070576955;0.012566028428230784;7;0
99;0.319625320765433;0.012785012830617322;7;0
100;0.3318555245370095;0.013274220981480383;7;0
101;0.3344955446675582;0.013379821786702327;7;0
102;0.32662877735692997;0.0130651510942772;7;0
103;0.3428920092823651;0.013715680371294604;7;0
104;0.337099629259484;0.013483985170379359;9;2
105;0.3300968599746308;0.013203874398985231;9;2
106;0.32216235861274917;0.012886494344509968;9;2
107;0.3387408602605799;0.013549634410423197;9;2
108;0.34522637890166963;0.013809055156066787;8;1
109;0.32531918329172127;0.013012767331668848;7;0
110;0.33359794279890304;0.013343917711956121;9;2
111;0.3252519278887445;0.013010077115549778;7;0
112;0.34594403699164294;0.01383776147966572;8;1
113;0.30365713057842114;0.012146285223136846;7;0
114;0.33751066728787354;0.013500426691514942;9;2
115;0.34248431371860266;0.013699372548744114;9;2
116;0.34594459266581634;0.01383778370663266;8;1
117;0.3409493949233271;0.013637975796933084;7;0
118;0.2960973973017029;0.011843895892068117;7;0
119;0.3040104519180445;0.012160418076721784;7;0
120;0.31910114651813387;0.012764045860725355;7;0
121;0.33308251563494023;0.013323300625397607;9;2
122;0.33810542542139777;0.013524217016855909;9;2
123;0.31740052528103524;0.012696021011241409;7;0
124;0.33250974768763814;0.013300389907505523;9;2
125;0.3354472398564112;0.013417889594256452;7;0
126;0.33241277731920105;0.013296511092768042;9;2
127;0.33376622458357735;0.013350648983343092;7;0
128;0.30241284696380544;0.012096513878552217;7;0
129;0.3292298695638494;0.013169194782553979;7;0
130;0.33640444820211884;0.013456177928084755;9;2
131;0.32168018739369864;0.012867207495747943;7;0
132;0.30981763053748196;0.012392705221499276;7;0
133;0.3441665561395216;0.013766662245580865;7;0
134;0.3071491439713351;0.012285965758853401;7;0
135;0.3206398915118403;0.01282559566047361;7;0
136;0.33768629224370095;0.013507451689748042;9;2
137;0.295999688882932;0.01183998755531728;7;0
138;0.3126186394654836;0.012504745578619345;7;0
139;0.33700502017252726;0.01348020080690109;7;0
140;0.3127471017659643;0.01250988407063857;7;0
141;0.2981705312969194;0.011926821251876774;7;0
142;0.2994405063255504;0.01197762025302202;7;0
143;0.31365704545279965;0.012546281818111989;7;0
144;0.3311318058167141;0.013245272232668566;9;2
145;0.3454798289098417;0.013819193156393668;8;1
146;0.33629770667104786;0.013451908266841917;7;0
147;0.3459023173004862;0.01383609269201945;8;1
148;0.32876089630782057;0.013150435852312823;7;0
149;0.30117570581987463;0.012047028232794986;7;0
150;0.29889879503501776;0.011955951801400709;7;0
151;0.3107989911650187;0.012431959646600743;7;0
152;0.2956026872545076;0.011824107490180305;7;0
153;0.33707519889299153;0.013483007955719661;9;2
154;0.33534892227596985;0.013413956891038796;7;0
155;0.3214775528051452;0.01285910211220581;7;0
156;0.34563527880187705;0.013825411152075084;8;1
157;0.30836948752673676;0.012334779501069473;7;0
158;0.33144796029065804;0.013257918411626324;9;2
159;0.30911909543734634;0.012364763817493851;7;0
160;0.305248690222989;0.012209947608919558;7;0
161;0.2962587606583583;0.011850350426334337;7;0
162;0.34567263162245915;0.013826905264898359;8;1
163;0.31808832058645264;0.012723532823458103;7;0
164;0.3458537320266582;0.013834149281066325;8;1
165;0.305866204396583;0.012234648175863323;7;0
166;0.3455546827827404;0.01382218731130961;8;1
167;0.29974711331005216;0.011989884532402087;7;0
168;0.32661761156558944;0.013064704462623575;7;0
169;0.31987393186223106;0.01279495727448924;7;0
170;0.32677857543095046;0.013071143017238019;9;2
171;0.320972877926474;0.012838915117058956;7;0
172;0.33726359924673105;0.013490543969869246;9;2
173;0.33112245527338824;0.013244898210935527;9;2
174;0.34008471270376717;0.013603388508150684;7;0
175;0.30796019995912016;0.012318407998364806;7;0
176;0.34585601133635535;0.013834240453454216;8;1
177;0.33583136063325725;0.01343325442533029;7;0
178;0.33369149148690763;0.013347659659476308;7;0
179;0.29546232924537774;0.01181849316981511;7;0
180;0.32998297093899026;0.01319931883755961;7;0
181;0.333747631867012;0.01334990527468048;7;0
182;0.3015744950096192;0.012062979800384763;7;0
183;0.30611392942403387;0.012244557176961353;7;0
184;0.32845956179948144;0.013138382471979258;9;2
185;0.335184885204165;0.013407395408166599;9;2
186;0.33192424141126536;0.01327696965645062;7;0
187;0.3441126205087214;0.013764504820348857;7;0
188;0.3349301341246932;0.013397205364987725;7;0
189;0.3438424220330903;0.013753696881323616;7;0
190;0.3129956967427492;0.012519827869709968;7;0
191;0.3320302203399447;0.013281208813597789;7;0
192;0.31190865335153667;0.012476346134061466;7;0
193;0.34594607203625694;0.01383784288145028;8;1
194;0.2940677303517974;0.011762709214071895;7;0
