,SSR_1,MSE_1,nr_variables_deleted_1,nr_correct_variables_deleted_1,SSR_2,MSE_2,nr_variables_deleted_2,nr_correct_variables_deleted_2,SSR_3,MSE_3,nr_variables_deleted_3,nr_correct_variables_deleted_3,SSR_4,MSE_4,nr_variables_deleted_4,nr_correct_variables_deleted_4,SSR_5,MSE_5,nr_variables_deleted_5,nr_correct_variables_deleted_5,SSR_6,MSE_6,nr_variables_deleted_6,nr_correct_variables_deleted_6,SSR_7,MSE_7,nr_variables_deleted_7,nr_correct_variables_deleted_7,SSR_8,MSE_8,nr_variables_deleted_8,nr_correct_variables_deleted_8,SSR_9,MSE_9,nr_variables_deleted_9,nr_correct_variables_deleted_9
0,0.30186958282439247,0.003018695828243925,0.0,0.0,0.3023259448801185,0.003023259448801185,0.0,0.0,0.3023247296047045,0.003023247296047045,0.0,0.0,0.30232563780527805,0.0030232563780527803,0.0,0.0,0.3027044049812346,0.0030270440498123457,1.0,0.0,0.30093279731037,0.0030093279731036996,1.0,0.0,0.29806076815835303,0.00298060768158353,2.0,0.0,0.2934403092956335,0.002934403092956335,2.0,0.0,0.3265533328613651,0.003265533328613651,4.0,1.0
1,0.30186958282439247,0.003018695828243925,0.0,0.0,0.30337540018172426,0.0030337540018172426,0.0,0.0,0.30334400473628814,0.0030334400473628815,0.0,0.0,0.30319758233477806,0.0030319758233477807,0.0,0.0,0.3034351882595619,0.003034351882595619,0.0,0.0,0.2787412955943772,0.002787412955943772,1.0,0.0,0.27770118191111265,0.0027770118191111264,1.0,0.0,0.25341184190979577,0.002534118419097958,2.0,0.0,0.3282399240650822,0.003282399240650822,3.0,0.0
2,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.3033719901196187,0.003033719901196187,0.0,0.0,0.3034675472215965,0.0030346754722159652,0.0,0.0,0.7656060204921764,0.007656060204921764,1.0,1.0,0.3033719901196187,0.003033719901196187,0.0,0.0,0.7477036543296359,0.0074770365432963596,1.0,1.0,0.7477037093876935,0.007477037093876935,1.0,1.0,1.1727879516098179,0.011727879516098178,2.0,2.0,1.1727886164951968,0.011727886164951969,2.0,2.0
3,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.30231197576858826,0.0030231197576858827,0.0,0.0,0.3023108663383668,0.003023108663383668,0.0,0.0,0.2999120174721227,0.002999120174721227,0.0,0.0,0.27550013927123973,0.0027550013927123973,1.0,0.0,0.2528950375368443,0.002528950375368443,2.0,0.0,0.2471176261904193,0.002471176261904193,3.0,0.0,0.2224976078185605,0.002224976078185605,4.0,0.0,0.20750644694630127,0.002075064469463013,5.0,0.0
4,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.30105043171045287,0.0030105043171045286,0.0,0.0,0.754771971721102,0.00754771971721102,1.0,1.0,0.31270476497449645,0.0031270476497449644,0.0,0.0,0.32655767178531453,0.0032655767178531455,0.0,0.0,0.7563805390079222,0.007563805390079222,1.0,1.0,0.760458672774723,0.0076045867277472305,1.0,1.0,0.7816396531060225,0.007816396531060225,1.0,1.0,0.8302562807484611,0.008302562807484612,1.0,1.0
5,0.30186958282439247,0.003018695828243925,0.0,0.0,0.3043504623022166,0.003043504623022166,0.0,0.0,0.3022077651641431,0.003022077651641431,1.0,1.0,0.30101396928349755,0.0030101396928349754,0.0,0.0,0.27656329400716034,0.0027656329400716035,1.0,0.0,0.25423970284793473,0.0025423970284793474,2.0,0.0,0.24885473695675872,0.0024885473695675873,3.0,0.0,0.22280847570683746,0.0022280847570683745,4.0,0.0,0.20851308627308618,0.0020851308627308617,5.0,0.0
6,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.3010461714658084,0.0030104617146580843,0.0,0.0,0.3092212921822903,0.0030922129218229027,0.0,0.0,0.7792966450078154,0.007792966450078154,1.0,1.0,0.7568474143969879,0.007568474143969879,1.0,1.0,0.7585140033159431,0.007585140033159431,1.0,1.0,0.7755389795995046,0.007755389795995046,1.0,1.0,0.7565183228594597,0.007565183228594598,1.0,1.0,0.7387222605593423,0.007387222605593423,2.0,1.0
7,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.3039879928847054,0.003039879928847054,0.0,0.0,0.30139087267998493,0.0030139087267998495,1.0,1.0,0.3009516095923858,0.003009516095923858,0.0,0.0,0.2772988911103882,0.002772988911103882,1.0,0.0,0.25492292552472834,0.0025492292552472835,2.0,0.0,0.24927974368632558,0.002492797436863256,3.0,0.0,0.22431125471786914,0.0022431125471786915,5.0,0.0,0.21002841925105337,0.0021002841925105336,7.0,0.0
8,0.30186958751084697,0.0030186958751084697,0.0,0.0,0.3011105196862449,0.003011105196862449,0.0,0.0,0.3011105198620163,0.0030111051986201633,0.0,0.0,0.3196505480239044,0.003196505480239044,0.0,0.0,0.7991524173448964,0.007991524173448963,1.0,1.0,0.2760767346698716,0.002760767346698716,1.0,0.0,0.2758928464369244,0.002758928464369244,1.0,0.0,0.27588937301903976,0.002758893730190398,1.0,0.0,0.747766839439072,0.0074776683943907196,2.0,1.0
9,0.3018695890197434,0.003018695890197434,0.0,0.0,0.30419299200403316,0.0030419299200403318,0.0,0.0,0.3011746504757603,0.003011746504757603,1.0,1.0,0.30093225563124265,0.0030093225563124267,0.0,0.0,0.2771380836969716,0.002771380836969716,1.0,0.0,0.25477319623600453,0.002547731962360045,2.0,0.0,0.24895304126471626,0.0024895304126471627,3.0,0.0,0.23007273514280166,0.0023007273514280167,3.0,0.0,0.23528983638033796,0.0023528983638033798,4.0,0.0
