,SSR_1,MSE_1,nr_variables_deleted_1,nr_correct_variables_deleted_1,SSR_2,MSE_2,nr_variables_deleted_2,nr_correct_variables_deleted_2,SSR_3,MSE_3,nr_variables_deleted_3,nr_correct_variables_deleted_3,SSR_4,MSE_4,nr_variables_deleted_4,nr_correct_variables_deleted_4,SSR_5,MSE_5,nr_variables_deleted_5,nr_correct_variables_deleted_5,SSR_6,MSE_6,nr_variables_deleted_6,nr_correct_variables_deleted_6,SSR_7,MSE_7,nr_variables_deleted_7,nr_correct_variables_deleted_7,SSR_8,MSE_8,nr_variables_deleted_8,nr_correct_variables_deleted_8,SSR_9,MSE_9,nr_variables_deleted_9,nr_correct_variables_deleted_9
0,0.2968096346099254,0.002968096346099254,0,0,0.2262702364593405,0.002262702364593405,0,0,0.22627011347815404,0.0022627011347815403,1,0,0.20521164879402895,0.0020521164879402894,1,0,0.5446184172738988,0.005446184172738988,2,1,0.43729101773234735,0.004372910177323473,2,1,0.43729101773234735,0.004372910177323473,3,1,0.40556668447556515,0.004055666844755651,3,1,0.4625724935469662,0.004625724935469662,3,1
1,0.2947064550852274,0.002947064550852274,0,0,0.8140253222726926,0.008140253222726927,1,1,0.7480082801638097,0.007480082801638097,1,1,0.2436436674926897,0.002436436674926897,2,0,0.22593877315357122,0.002259387731535712,2,0,0.22593877353032227,0.0022593877353032227,3,0,0.2142150205466851,0.0021421502054668508,3,0,0.20186710054607765,0.0020186710054607765,4,0,0.704743271582856,0.00704743271582856,4,1
2,0.299880143620757,0.00299880143620757,0,0,0.6477080245501481,0.006477080245501481,1,1,0.6477080310476967,0.006477080310476967,2,1,1.2653624826137309,0.012653624826137308,3,2,0.6477080310476967,0.006477080310476967,4,1,1.3350069888669331,0.013350069888669332,5,2,1.3350069738077652,0.013350069738077652,6,2,1.2926614362139268,0.012926614362139268,7,2,1.2926614362139268,0.012926614362139268,8,2
3,0.29083951384373696,0.0029083951384373695,0,0,0.2543316378842815,0.0025433163788428147,0,0,0.2240584714671697,0.002240584714671697,0,0,0.20879202988576612,0.0020879202988576613,0,0,0.18928436953208225,0.0018928436953208226,1,0,0.183130019876646,0.00183130019876646,1,0,0.1575891099062523,0.001575891099062523,1,0,0.13099072858803956,0.0013099072858803957,1,0,0.07336750928596653,0.0007336750928596653,1,0
4,0.28587909998448163,0.0028587909998448163,0,0,0.6629882840837313,0.006629882840837313,1,1,0.6986108376263435,0.006986108376263435,2,1,1.0458521055865866,0.010458521055865866,3,2,1.0458521046297597,0.010458521046297598,4,2,1.0458521055865866,0.010458521055865866,5,2,1.0458521046297597,0.010458521046297598,6,2,1.0458521055865866,0.010458521055865866,7,2,1.0458521055865866,0.010458521055865866,8,2
5,0.3003795206806658,0.0030037952068066582,0,0,0.27207240697867324,0.0027207240697867323,0,0,0.26053428013190366,0.002605342801319037,0,0,0.2395399122360273,0.002395399122360273,0,0,0.18278306519878088,0.0018278306519878087,0,0,0.15068567851833795,0.0015068567851833795,0,0,0.11887664660163541,0.0011887664660163541,0,0,0.11465000697563046,0.0011465000697563046,0,0,0.10223376252017718,0.0010223376252017718,0,0
6,0.2959486713933533,0.002959486713933533,0,0,0.5952560094565855,0.005952560094565855,1,1,0.5952560094565855,0.005952560094565855,2,1,0.5952560183833823,0.005952560183833822,3,1,0.5952560094565855,0.005952560094565855,4,1,0.5952560094565855,0.005952560094565855,5,1,0.5952560183833823,0.005952560183833822,6,1,0.5802964408137531,0.005802964408137531,6,1,0.5838932425955712,0.0058389324259557115,7,1
7,0.28760358645784934,0.0028760358645784933,0,0,0.27595103362262235,0.0027595103362262237,0,0,0.2685891891675535,0.0026858918916755348,0,0,0.24047095821498715,0.0024047095821498714,0,0,0.20701292446636899,0.00207012924466369,0,0,0.19395008198332392,0.001939500819833239,0,0,0.1263825276549586,0.001263825276549586,0,0,0.08550732556759558,0.0008550732556759558,0,0,0.0790608471517643,0.000790608471517643,0,0
8,0.28610774411644735,0.0028610774411644735,0,0,0.8085727576129488,0.008085727576129487,1,1,0.8085727576129488,0.008085727576129487,2,1,0.8085727576129488,0.008085727576129487,3,1,1.4154309246863086,0.014154309246863086,3,2,0.7930999099639132,0.007930999099639131,4,1,0.7930999099639132,0.007930999099639131,5,1,0.7930999099639132,0.007930999099639131,6,1,0.7692126735836641,0.00769212673583664,6,1
9,0.2789147684268601,0.0027891476842686006,0,0,0.2553408854823209,0.0025534088548232092,0,0,0.24332535079687062,0.0024332535079687064,0,0,0.2317621811085232,0.002317621811085232,0,0,0.15437993086255064,0.0015437993086255064,0,0,0.14257120625411793,0.0014257120625411793,1,0,0.12223939873887912,0.0012223939873887912,1,0,0.09714843065366398,0.0009714843065366398,1,0,0.09465759788188037,0.0009465759788188037,1,0
