,SSR_1,MSE_1,nr_variables_deleted_1,nr_correct_variables_deleted_1,ETA_1,SSR_2,MSE_2,nr_variables_deleted_2,nr_correct_variables_deleted_2,ETA_2,SSR_3,MSE_3,nr_variables_deleted_3,nr_correct_variables_deleted_3,ETA_3,SSR_4,MSE_4,nr_variables_deleted_4,nr_correct_variables_deleted_4,ETA_4,SSR_5,MSE_5,nr_variables_deleted_5,nr_correct_variables_deleted_5,ETA_5,SSR_6,MSE_6,nr_variables_deleted_6,nr_correct_variables_deleted_6,ETA_6,SSR_7,MSE_7,nr_variables_deleted_7,nr_correct_variables_deleted_7,ETA_7,SSR_8,MSE_8,nr_variables_deleted_8,nr_correct_variables_deleted_8,ETA_8,SSR_9,MSE_9,nr_variables_deleted_9,nr_correct_variables_deleted_9,ETA_9
0,0.5551338010581629,0.005551338010581628,0,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,0,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,1,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,2,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,3,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,4,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,5,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,6,0,0.010000000000000002,0.8538090373241555,0.00853809037324155,7,0,0.010000000000000002
1,0.5415326691066085,0.005415326691066086,0,0,0.010000000000000002,0.7535796967502054,0.0075357969675020516,0,0,0.010000000000000002,0.7535796967502054,0.0075357969675020516,1,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,2,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,3,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,4,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,5,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,6,0,0.010000000000000002,0.7535796967502054,0.007535796967502053,7,0,0.010000000000000002
2,0.6005671918680267,0.006005671918680271,0,0,0.010000000000000002,0.732212578650749,0.007322125786507486,0,0,0.010000000000000002,0.732212578650749,0.007322125786507486,1,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,2,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,3,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,4,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,5,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,6,0,0.010000000000000002,0.7322125786507492,0.007322125786507488,7,0,0.010000000000000002
3,0.617890860847884,0.006178908608478839,0,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,0,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,1,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,2,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,3,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,4,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,5,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,6,0,0.010000000000000002,0.8021122629828714,0.008021122629828714,7,0,0.010000000000000002
4,0.5933115927465273,0.005933115927465276,0,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,0,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,1,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,2,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,3,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,4,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,5,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,6,0,0.010000000000000002,0.8253669203883343,0.008253669203883342,7,0,0.010000000000000002
5,0.5350513667104564,0.005350513667104566,0,0,0.010000000000000002,0.771916763397461,0.00771916763397461,0,0,0.010000000000000002,0.771916763397461,0.00771916763397461,1,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,2,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,3,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,4,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,5,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,6,0,0.010000000000000002,0.7719167633974621,0.007719167633974621,7,0,0.010000000000000002
6,0.5917133242749655,0.005917133242749653,0,0,0.010000000000000002,0.8252357236030184,0.008252357236030182,1,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,2,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,3,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,4,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,5,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,6,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,7,1,0.010000000000000002,0.8252357236030184,0.008252357236030182,8,1,0.010000000000000002
7,0.608110525662784,0.00608110525662784,0,0,0.010000000000000002,0.7652166201170034,0.007652166201170041,0,0,0.010000000000000002,0.7652166201170034,0.007652166201170041,1,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,2,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,3,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,4,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,5,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,6,0,0.010000000000000002,0.7652166201170039,0.0076521662011700435,7,0,0.010000000000000002
8,0.5783049768542221,0.00578304976854222,0,0,0.010000000000000002,0.7243751171223388,0.007243751171223386,0,0,0.010000000000000002,0.7243751171223388,0.007243751171223386,1,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,2,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,3,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,4,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,5,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,6,0,0.010000000000000002,0.724375117122338,0.0072437511712233815,7,0,0.010000000000000002
9,0.562741985623929,0.005627419856239289,0,0,0.010000000000000002,0.833807726452467,0.00833807726452467,0,0,0.010000000000000002,0.833807726452467,0.00833807726452467,1,0,0.010000000000000002,0.833807726452467,0.00833807726452467,2,0,0.010000000000000002,0.833807726452467,0.00833807726452467,3,0,0.010000000000000002,0.833807726452467,0.00833807726452467,4,0,0.010000000000000002,0.833807726452467,0.00833807726452467,5,0,0.010000000000000002,0.833807726452467,0.00833807726452467,6,0,0.010000000000000002,0.833807726452467,0.00833807726452467,7,0,0.010000000000000002
